session_id,timestamp,transcript,word_count,wpm,speed_category,confidence_score,communication_score,duration,audio_filename
6e8bf7af-6a3f-4d50-82fb-5b64153e98ab,2026-05-10T23:49:36.423102Z,"So, basically, today I wanted to, uh, talk about our project timeline. We are, like, slightly behind on the frontend, but I think, you know, we can catch up if we work hard.",33,150.0,Normal,55,55,13.2,6e8bf7af-6a3f-4d50-82fb-5b64153e98ab_original.wav
626e12aa-82a4-4dfa-a820-443b40886ad9,2026-05-11T16:49:36.423102Z,"Hello team, um, er, this is a quick status update. The database is initialized and, uh, I have set up the tables. However, like, the API calls are having issues.",30,126.1,Normal,55,56,14.3,626e12aa-82a4-4dfa-a820-443b40886ad9_original.wav
2be08e22-58a3-4cf0-8169-864dd83de399,2026-05-12T20:49:36.423102Z,"So, basically, today I wanted to, uh, talk about our project timeline. We are, like, slightly behind on the frontend, but I think, you know, we can catch up if we work hard.",33,140.3,Normal,63,58,14.1,2be08e22-58a3-4cf0-8169-864dd83de399_original.wav
1ed88f15-b4df-4701-a036-c2a9542bd571,2026-05-13T18:49:36.423102Z,"Hello team, um, er, this is a quick status update. The database is initialized and, uh, I have set up the tables. However, like, the API calls are having issues.",30,141.7,Normal,65,59,12.7,1ed88f15-b4df-4701-a036-c2a9542bd571_original.wav
d2a622e4-7235-4dfa-902e-ab3d38c2f172,2026-05-14T18:49:36.423102Z,"Um, so today's meeting is about communication skills. I think we, uh, need to pay attention to, like, how fast we speak because sometimes we speak, you know, too fast.",30,117.9,Normal,61,60,15.3,d2a622e4-7235-4dfa-902e-ab3d38c2f172_original.wav
486a8a2f-c03b-42d6-9728-0a8ca35042fe,2026-05-15T15:49:36.423102Z,"So, basically, today I wanted to, uh, talk about our project timeline. We are, like, slightly behind on the frontend, but I think, you know, we can catch up if we work hard.",33,115.0,Normal,61,60,17.2,486a8a2f-c03b-42d6-9728-0a8ca35042fe_original.wav
ca6ef1ac-eacc-48d4-b2a0-fe3fb46f5106,2026-05-16T16:49:36.423102Z,"Um, so today's meeting is about communication skills. I think we, uh, need to pay attention to, like, how fast we speak because sometimes we speak, you know, too fast.",30,129.2,Normal,67,67,13.9,ca6ef1ac-eacc-48d4-b2a0-fe3fb46f5106_original.wav
af937b95-f421-4b02-945a-c68faa98c5ad,2026-05-17T17:49:36.423102Z,"Hello team, um, er, this is a quick status update. The database is initialized and, uh, I have set up the tables. However, like, the API calls are having issues.",30,123.9,Normal,58,65,14.5,af937b95-f421-4b02-945a-c68faa98c5ad_original.wav
7d061b10-8e4c-46e6-a5d0-896c6ffd69e0,2026-05-18T18:49:36.423102Z,"So, basically, today I wanted to, uh, talk about our project timeline. We are, like, slightly behind on the frontend, but I think, you know, we can catch up if we work hard.",33,146.9,Normal,61,60,13.5,7d061b10-8e4c-46e6-a5d0-896c6ffd69e0_original.wav
4945d1b9-35d3-4eb9-97e3-4bd15a7e1dbe,2026-05-19T15:49:36.423102Z,"Let's discuss the deployment strategy. We will deploy the FastAPI backend to Render. The Flutter Web client, uh, will be hosted on Vercel for high speed access.",27,134.9,Normal,63,72,12.0,4945d1b9-35d3-4eb9-97e3-4bd15a7e1dbe_original.wav
1181ea6b-6a60-4041-8d6a-e5d18d9cb887,2026-05-20T19:49:36.423102Z,"Good morning. I'm pleased to report that the testing phase is complete. We, uh, found three minor bugs but, like, they have been resolved. The performance is solid.",28,128.7,Normal,71,70,13.1,1181ea6b-6a60-4041-8d6a-e5d18d9cb887_original.wav
7fb37eb1-1aa4-4f48-9c24-3aa7353686d3,2026-05-21T23:49:36.423102Z,"Let's discuss the deployment strategy. We will deploy the FastAPI backend to Render. The Flutter Web client, uh, will be hosted on Vercel for high speed access.",27,137.6,Normal,69,72,11.8,7fb37eb1-1aa4-4f48-9c24-3aa7353686d3_original.wav
5ed41ea5-d3f5-4184-9e9d-eaeef8716365,2026-05-22T23:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,131.8,Normal,75,74,12.3,5ed41ea5-d3f5-4184-9e9d-eaeef8716365_original.wav
6d5e9d0e-3f20-4d65-bc00-e282ba14a2b7,2026-05-23T21:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,130.6,Normal,70,73,12.4,6d5e9d0e-3f20-4d65-bc00-e282ba14a2b7_original.wav
c2244f98-a2b9-4383-9997-6ccffa963e0b,2026-05-24T19:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,127.9,Normal,70,77,12.7,c2244f98-a2b9-4383-9997-6ccffa963e0b_original.wav
bf42f7a0-df68-4d01-97f7-db958e66b53a,2026-05-25T19:49:36.423102Z,"Let's discuss the deployment strategy. We will deploy the FastAPI backend to Render. The Flutter Web client, uh, will be hosted on Vercel for high speed access.",27,136.0,Normal,66,76,11.9,bf42f7a0-df68-4d01-97f7-db958e66b53a_original.wav
e6853575-de08-442a-9b17-48c1308a7f02,2026-05-26T22:49:36.423102Z,"Good morning. I'm pleased to report that the testing phase is complete. We, uh, found three minor bugs but, like, they have been resolved. The performance is solid.",28,139.3,Normal,73,71,12.1,e6853575-de08-442a-9b17-48c1308a7f02_original.wav
feb7fdda-0fc6-4afe-914c-8a2c49bd5820,2026-05-27T21:49:36.423102Z,"Good morning. I'm pleased to report that the testing phase is complete. We, uh, found three minor bugs but, like, they have been resolved. The performance is solid.",28,140.0,Normal,67,72,12.0,feb7fdda-0fc6-4afe-914c-8a2c49bd5820_original.wav
77475a81-4747-4e65-9938-f0affefb8b3e,2026-05-28T18:49:36.423102Z,"Let's discuss the deployment strategy. We will deploy the FastAPI backend to Render. The Flutter Web client, uh, will be hosted on Vercel for high speed access.",27,125.2,Normal,72,74,12.9,77475a81-4747-4e65-9938-f0affefb8b3e_original.wav
5188fa38-d425-4fe8-99cf-b2965c9211d5,2026-05-29T16:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,136.2,Normal,78,79,11.9,5188fa38-d425-4fe8-99cf-b2965c9211d5_original.wav
b99b4632-65e6-413c-b7d9-c90fbac5dcb5,2026-05-30T18:49:36.423102Z,"Let's discuss the deployment strategy. We will deploy the FastAPI backend to Render. The Flutter Web client, uh, will be hosted on Vercel for high speed access.",27,136.3,Normal,82,76,11.9,b99b4632-65e6-413c-b7d9-c90fbac5dcb5_original.wav
521cfe88-7d1f-4633-be6c-f7ce4aaf9872,2026-05-31T20:49:36.423102Z,"This is a demonstration of the Echo AI communication intelligence platform. Speech rate is normal, pauses are consistent, and confidence is rising.",22,135.4,Normal,77,86,9.7,521cfe88-7d1f-4633-be6c-f7ce4aaf9872_original.wav
d6213378-ed27-46f3-8f04-d1f4570a47fe,2026-06-01T17:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,126.5,Normal,83,78,12.8,d6213378-ed27-46f3-8f04-d1f4570a47fe_original.wav
905a1765-2f16-4c9a-8c05-2d574bd14072,2026-06-02T20:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,133.3,Normal,81,88,12.2,905a1765-2f16-4c9a-8c05-2d574bd14072_original.wav
3d3b91fd-0e66-4d85-a3d7-4b30b0c43f90,2026-06-03T17:49:36.423102Z,"Effective communication requires clear articulation, proper pacing, and minimal filler words. I am speaking clearly and confidently to ensure maximum impact.",21,125.6,Normal,81,88,10.0,3d3b91fd-0e66-4d85-a3d7-4b30b0c43f90_original.wav
f4e9c792-6ca1-4061-b09b-f748dd79e5d9,2026-06-04T18:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,127.0,Normal,84,91,12.8,f4e9c792-6ca1-4061-b09b-f748dd79e5d9_original.wav
4b1e0c74-c42c-49b5-bf47-ed2a324660ca,2026-06-05T18:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,127.2,Normal,88,83,12.7,4b1e0c74-c42c-49b5-bf47-ed2a324660ca_original.wav
a08cffe8-ca5c-4ada-a669-0d4d3cd87886,2026-06-06T19:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,128.7,Normal,84,90,12.6,a08cffe8-ca5c-4ada-a669-0d4d3cd87886_original.wav
39af04cb-b4cd-41b0-9a6c-2cc72a8e1b02,2026-06-07T17:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,131.3,Normal,91,85,12.3,39af04cb-b4cd-41b0-9a6c-2cc72a8e1b02_original.wav
7a32e1e4-013f-42b0-a4bb-9065c4e767ba,2026-06-08T15:49:36.423102Z,"I've been practicing my speaking speed. Today, I'm trying to, uh, maintain a steady pace of around one hundred and thirty words per minute, avoiding filler words.",27,130.2,Normal,88,88,12.4,7a32e1e4-013f-42b0-a4bb-9065c4e767ba_original.wav
